Ticker;Name;Market Cap;Sector;Industry
AJRD;Aerojet Rocketdyne Holdings, Inc.;3,176,230,400.00;Industrials;Aerospace & Defense
AJX;Great Ajax Corp.;163,630,112.00;Real Estate;REIT—Mortgage
AKBA;Akebia Therapeutics, Inc.;949,261,952.00;Healthcare;Biotechnology
AKCA;Akcea Therapeutics, Inc.;1,804,170,880.00;Healthcare;Biotechnology
AKR;Acadia Realty Trust;947,478,912.00;Real Estate;REIT—Retail
AKRO;Akero Therapeutics, Inc.;554,993,280.00;Healthcare;Biotechnology
AKRX;Akorn, Inc.;34,178,428.00;Healthcare;Drug Manufacturers—Specialty & Generic
AKS;AK Steel Holding Corp.;491,208,928.00;;
AKTS;Akoustis Technologies, Inc.;292,596,192.00;Technology;Communication Equipment
ALBO;Albireo Pharma, Inc.;285,634,272.00;Healthcare;Biotechnology
ALCO;Alico, Inc.;205,690,928.00;Consumer Defensive;Farm Products
ALDR;Alder Biopharmaceuticals, Inc.;;;
ALDX;Aldeyra Therapeutics, Inc.;79,197,808.00;Healthcare;Biotechnology
ALE;ALLETE, Inc.;2,929,053,184.00;Utilities;Utilities—Diversified
ALEC;Alector, Inc.;1,896,619,392.00;Healthcare;Biotechnology
ALEX;Alexander & Baldwin, Inc.;766,448,896.00;Real Estate;REIT—Diversified
ALG;Alamo Group, Inc.;1,055,786,624.00;Industrials;Farm & Heavy Construction Machinery
ALGT;Allegiant Travel Co.;1,194,364,160.00;Industrials;Airlines
ALLK;Allakos, Inc.;3,173,704,448.00;Healthcare;Biotechnology
ALLO;Allogene Therapeutics, Inc.;3,489,901,568.00;Healthcare;Biotechnology
ALOT;AstroNova, Inc.;39,104,472.00;Technology;Computer Hardware
ALRM;Alarm.com Holdings, Inc.;2,193,140,992.00;Technology;Software—Application
ALTM;Altus Midstream Co.;205,810,032.00;Energy;Oil & Gas Midstream
ALTR;Altair Engineering, Inc.;2,189,173,504.00;Technology;Software—Infrastructure
ALX;Alexander's, Inc.;1,424,831,872.00;Real Estate;REIT—Retail
AMAG;AMAG Pharmaceuticals, Inc.;262,132,608.00;Healthcare;Biotechnology
AMAL;Amalgamated Bank;301,700,192.00;Financial Services;Banks—Regional
AMBA;Ambarella, Inc.;1,734,370,944.00;Technology;Semiconductor Equipment & Materials
AMBC;Ambac Financial Group, Inc.;700,418,688.00;Financial Services;Insurance—Specialty
AMC;AMC Entertainment Holdings, Inc.;324,192,608.00;Communication Services;Entertainment
AMED;Amedisys, Inc.;6,172,943,360.00;Healthcare;Medical Care Facilities
AMEH;Apollo Medical Holdings, Inc.;497,309,760.00;Healthcare;Medical Care Facilities
AMK;AssetMark Financial Holdings, Inc.;1,591,134,336.00;Financial Services;Asset Management
AMKR;Amkor Technology, Inc.;2,211,336,192.00;Technology;Semiconductors
AMN;AMN Healthcare Services, Inc.;2,174,044,160.00;Healthcare;Medical Care Facilities
AMNB;American National Bankshares, Inc. (Virginia);261,117,232.00;Financial Services;Banks—Regional
AMOT;Allied Motion Technologies, Inc.;264,461,424.00;Technology;Electronic Components
AMPH;Amphastar Pharmaceuticals, Inc.;765,664,832.00;Healthcare;Drug Manufacturers—Specialty & Generic
AMRC;Ameresco, Inc.;825,840,384.00;Industrials;Engineering & Construction
AMRS;Amyris, Inc.;404,692,224.00;Basic Materials;Specialty Chemicals
AMRX;Amneal Pharmaceuticals, Inc.;982,003,136.00;Healthcare;Drug Manufacturers—Specialty & Generic
AMSC;American Superconductor Corp.;117,970,496.00;Industrials;Specialty Industrial Machinery
AMSF;AMERISAFE, Inc.;1,164,139,776.00;Financial Services;Insurance—Specialty
AMSWA;American Software, Inc.;478,023,008.00;Technology;Software—Application
AMTB;Amerant Bancorp, Inc.;476,114,496.00;Financial Services;Banks—Regional
AMWD;American Woodmark Corp.;722,367,552.00;Consumer Cyclical;Furnishings, Fixtures & Appliances
ANAB;AnaptysBio, Inc.;426,701,920.00;Healthcare;Biotechnology
ANDE;The Andersons, Inc.;503,659,680.00;Consumer Defensive;Food Distribution
ANF;Abercrombie & Fitch Co.;556,843,200.00;Consumer Cyclical;Apparel Retail
ANGO;AngioDynamics, Inc.;396,549,312.00;Healthcare;Medical Instruments & Supplies
ANH;Anworth Mortgage Asset Corp.;135,519,856.00;Real Estate;REIT—Mortgage
ANIK;Anika Therapeutics, Inc.;464,713,664.00;Healthcare;Biotechnology
ANIP;ANI Pharmaceuticals, Inc.;507,542,176.00;Healthcare;Drug Manufacturers—Specialty & Generic
AOBC;American Outdoor Brands Corp.;531,409,088.00;Industrials;Aerospace & Defense
AOSL;Alpha & Omega Semiconductor Ltd.;240,390,240.00;Technology;Semiconductors
APAM;Artisan Partners Asset Management, Inc.;1,788,717,568.00;Financial Services;Asset Management
APEI;American Public Education, Inc.;346,013,632.00;Consumer Defensive;Education & Training Services
APLS;Apellis Pharmaceuticals, Inc.;2,673,160,192.00;Healthcare;Biotechnology
APOG;Apogee Enterprises, Inc.;480,058,080.00;Industrials;Building Products & Equipment
APPF;AppFolio, Inc.;3,538,841,600.00;Technology;Software—Application
APPN;Appian Corp.;2,839,102,464.00;Technology;Software—Infrastructure
APPS;Digital Turbine, Inc.;477,076,064.00;Technology;Software—Application
APTS;Preferred Apartment Communities, Inc.;312,144,480.00;Real Estate;REIT—Residential
APYX;Apyx Medical Corp.;113,800,416.00;Healthcare;Medical Devices
AQUA;Evoqua Water Technologies Corp.;1,771,457,792.00;Industrials;Pollution & Treatment Controls
ARA;American Renal Associates Holdings, Inc.;205,569,440.00;Healthcare;Diagnostics & Research
ARAY;Accuray, Inc.;164,649,952.00;Healthcare;Medical Devices
ARCB;ArcBest Corp.;461,869,792.00;Industrials;Trucking
ARCH;Arch Coal, Inc.;393,407,328.00;Energy;Thermal Coal
ARDX;Ardelyx, Inc.;634,958,016.00;Healthcare;Biotechnology
ARES;Ares Management Corp.;8,061,758,464.00;Financial Services;Asset Management
ARGO;Argo Group International Holdings Ltd.;1,130,893,568.00;Financial Services;Insurance—Property & Casualty
ARI;Apollo Commercial Real Estate Finance, Inc.;1,110,602,112.00;Real Estate;REIT—Mortgage
ARL;American Realty Investors, Inc.;123,657,584.00;Real Estate;Real Estate—Development
ARLO;Arlo Technologies, Inc.;178,682,576.00;Industrials;Security & Protection Services
ARNA;Arena Pharmaceuticals, Inc.;2,482,141,952.00;Healthcare;Biotechnology
AROC;Archrock, Inc.;654,283,648.00;Energy;Oil & Gas Equipment & Services
AROW;Arrow Financial Corp.;389,193,376.00;Financial Services;Banks—Regional
ARQL;ArQule, Inc.;2,415,759,872.00;Healthcare;Biotechnology
ARR;ARMOUR Residential REIT, Inc.;495,197,600.00;Real Estate;REIT—Mortgage
ARTNA;Artesian Resources Corp.;317,419,936.00;Utilities;Utilities—Regulated Water
ARVN;Arvinas, Inc.;2,046,736,384.00;Healthcare;Biotechnology
ARWR;Arrowhead Pharmaceuticals, Inc.;3,908,596,480.00;Healthcare;Biotechnology
ASC;Ardmore Shipping Corp.;203,007,808.00;Energy;Oil & Gas Midstream
ASGN;ASGN, Inc.;2,054,809,984.00;Industrials;Staffing & Employment Services
ASIX;Advansix, Inc.;260,445,088.00;Basic Materials;Chemicals
ASMB;Assembly Biosciences, Inc.;573,868,480.00;Healthcare;Biotechnology
ASNA;Ascena Retail Group, Inc.;12,582,889.00;Consumer Cyclical;Apparel Retail
ASPS;Altisource Portfolio Solutions SA;96,132,832.00;Financial Services;Mortgage Finance
ASRT;Assertio Therapeutics, Inc.;66,206,532.00;Healthcare;Drug Manufacturers—Specialty & Generic
ASTE;Astec Industries, Inc.;818,855,872.00;Industrials;Farm & Heavy Construction Machinery
AT;Atlantic Power Corp.;217,775,904.00;Utilities;Utilities—Independent Power Producers
ATEC;Alphatec Holdings, Inc.;235,784,240.00;Healthcare;Medical Devices
ATEN;A10 Networks, Inc.;506,890,432.00;Technology;Software—Infrastructure
ATEX;Anterix, Inc.;917,538,752.00;Communication Services;Telecom Services
ATGE;Adtalem Global Education, Inc.;1,360,417,408.00;Consumer Defensive;Education & Training Services
ATHX;Athersys, Inc.;426,350,784.00;Healthcare;Biotechnology
ATI;Allegheny Technologies, Inc.;886,388,992.00;Industrials;Metal Fabrication
ATKR;Atkore International Group, Inc.;1,029,932,352.00;Industrials;Specialty Industrial Machinery
ATLO;Ames National Corp.;170,907,776.00;Financial Services;Banks—Regional
ATNI;ATN International, Inc.;1,106,496,896.00;Communication Services;Telecom Services
ATNX;Athenex, Inc.;713,610,496.00;Healthcare;Drug Manufacturers—Specialty & Generic
ATRA;Atara Biotherapeutics, Inc.;504,629,152.00;Healthcare;Biotechnology
ATRC;AtriCure, Inc.;1,552,672,128.00;Healthcare;Medical Instruments & Supplies
ATRI;Atrion Corp.;1,205,579,904.00;Healthcare;Medical Instruments & Supplies
ATRO;Astronics Corp.;247,585,008.00;Industrials;Aerospace & Defense
ATRS;Antares Pharma, Inc.;442,889,984.00;Healthcare;Medical Instruments & Supplies
ATSG;Air Transport Services Group, Inc.;1,157,301,888.00;Industrials;Integrated Freight & Logistics
AUB;Atlantic Union Bankshares Corp.;1,491,997,696.00;Financial Services;Banks—Regional
AVA;Avista Corp.;2,891,506,944.00;Utilities;Utilities—Diversified
AVAV;AeroVironment, Inc.;1,353,563,648.00;Industrials;Aerospace & Defense
AVCO;Avalon GloboCare Corp.;126,539,592.00;Healthcare;Medical Care Facilities
AVD;American Vanguard Corp.;446,644,768.00;Basic Materials;Agricultural Inputs
AVDR;Avedro, Inc.;;;
AVID;Avid Technology, Inc.;289,950,432.00;Communication Services;Electronic Gaming & Multimedia
AVNS;Avanos Medical, Inc.;1,419,305,344.00;Healthcare;Medical Devices
AVRO;Avrobio, Inc.;506,591,648.00;Healthcare;Biotechnology
AVX;AVX Corp.;3,665,240,064.00;Technology;Electronic Components
AVXL;Anavex Life Sciences Corp.;194,180,816.00;Healthcare;Biotechnology
AVYA;Avaya Holdings Corp.;805,238,784.00;Technology;Software—Application
AWR;American States Water Co.;3,018,569,984.00;Utilities;Utilities—Regulated Water
AX;Axos Financial, Inc.;1,056,429,760.00;Financial Services;Banks—Regional
AXAS;Abraxas Petroleum Corp.;48,836,000.00;Energy;Oil & Gas E&P
AXDX;Accelerate Diagnostics, Inc.;568,705,152.00;Healthcare;Diagnostics & Research
AXE;Anixter International, Inc.;3,061,495,040.00;Industrials;Industrial Distribution
AXGN;AxoGen, Inc.;330,626,816.00;Healthcare;Medical Devices
AXL;American Axle & Manufacturing Holdings, Inc.;397,893,760.00;Consumer Cyclical;Auto Parts
AXLA;Axcella Health, Inc.;101,566,944.00;Healthcare;Biotechnology
AXNX;Axonics Modulation Technologies, Inc.;1,201,598,720.00;Healthcare;Medical Devices
AXSM;Axsome Therapeutics, Inc.;2,639,397,888.00;Healthcare;Biotechnology
AXTI;AXT, Inc.;164,123,328.00;Technology;Semiconductor Equipment & Materials
AYR;Aircastle Ltd.;2,404,238,848.00;;
AZZ;AZZ, Inc.;718,183,360.00;Industrials;Electrical Equipment & Parts
B;Barnes Group, Inc.;1,907,184,640.00;Industrials;Specialty Industrial Machinery
BANC;Banc of California, Inc.;458,028,000.00;Financial Services;Banks—Regional
BAND;Bandwidth, Inc.;1,846,981,504.00;Technology;Software—Infrastructure
BANF;BancFirst Corp. (Oklahoma);1,119,455,360.00;Financial Services;Banks—Regional
BANR;Banner Corp.;1,150,074,624.00;Financial Services;Banks—Regional
BATRA;Liberty Media Corp. Liberty Braves;919,106,496.00;Communication Services;Entertainment
BATRK;Liberty Media Corp. Liberty Braves;919,107,584.00;Communication Services;Entertainment
BBBY;Bed Bath & Beyond, Inc.;621,252,480.00;Consumer Cyclical;Specialty Retail
BBCP;Concrete Pumping Holdings, Inc.;144,390,320.00;Industrials;Engineering & Construction
BBIO;BridgeBio Pharma, Inc.;3,675,820,544.00;Healthcare;Biotechnology
BBSI;Barrett Business Services, Inc.;319,964,640.00;Industrials;Staffing & Employment Services
BBX;BBX Capital Corp.;188,704,912.00;Consumer Cyclical;Resorts & Casinos
BCBP;BCB Bancorp, Inc.;164,547,840.00;Financial Services;Banks—Regional
BCC;Boise Cascade Co.;1,070,067,136.00;Basic Materials;Lumber & Wood Production
BCEI;Bonanza Creek Energy, Inc.;300,226,272.00;Energy;Oil & Gas E&P
BCEL;Atreca, Inc.;480,296,544.00;Healthcare;Biotechnology
BCML;BayCom Corp.;137,428,208.00;Financial Services;Banks—Regional
BCO;The Brink's Co.;2,390,661,632.00;Industrials;Security & Protection Services
BCOR;Blucora, Inc.;634,396,864.00;Financial Services;Asset Management
BCOV;Brightcove, Inc.;341,774,816.00;Technology;Software—Application
BCPC;Balchem Corp.;2,982,933,248.00;Basic Materials;Specialty Chemicals
BCRX;BioCryst Pharmaceuticals, Inc.;502,665,920.00;Healthcare;Biotechnology
BDC;Belden, Inc.;1,399,972,736.00;Industrials;Electrical Equipment & Parts
BDGE;Bridge Bancorp, Inc.;369,867,904.00;Financial Services;Banks—Regional
BDSI;BioDelivery Sciences International, Inc.;414,765,216.00;Healthcare;Biotechnology
BE;Bloom Energy Corp.;990,823,680.00;Industrials;Electrical Equipment & Parts
BEAT;BioTelemetry, Inc.;1,517,825,280.00;Healthcare;Diagnostics & Research
BECN;Beacon Roofing Supply, Inc.;1,247,088,512.00;Industrials;Building Products & Equipment
BELFB;Bel Fuse, Inc.;79,266,744.00;Technology;Electronic Components
BFC;Bank First Corp.;369,175,968.00;Financial Services;Banks—Regional
BFIN;BankFinancial Corp.;124,851,096.00;Financial Services;Banks—Regional
BFS;Saul Centers, Inc.;644,943,296.00;Real Estate;REIT—Retail
BFST;Business First Bancshares, Inc.;169,045,008.00;Financial Services;Banks—Regional
BGG;Briggs & Stratton Corp.;75,611,192.00;Industrials;Specialty Industrial Machinery
BGS;B&G Foods, Inc.;1,210,442,880.00;Consumer Defensive;Packaged Foods
BGSF;BG Staffing, Inc.;100,308,512.00;Industrials;Staffing & Employment Services
BH;Biglari Holdings, Inc.;183,943,488.00;Consumer Cyclical;Restaurants
BHB;Bar Harbor Bankshares;260,777,200.00;Financial Services;Banks—Regional
BHE;Benchmark Electronics, Inc.;758,170,688.00;Technology;Electronic Components
BHLB;Berkshire Hills Bancorp, Inc.;772,106,752.00;Financial Services;Banks—Regional
BHR;Braemar Hotels & Resorts, Inc.;80,781,512.00;Real Estate;REIT—Hotel & Motel
BHVN;Biohaven Pharmaceutical Holding Co. Ltd.;2,578,776,320.00;Healthcare;Biotechnology
BIG;Big Lots, Inc.;761,400,640.00;Consumer Defensive;Discount Stores
BIOS;Option Care Health, Inc.;2,952,618,240.00;;
BJ;BJ's Wholesale Club Holdings, Inc.;3,632,084,992.00;Consumer Defensive;Discount Stores
BJRI;BJ's Restaurants, Inc.;307,307,584.00;Consumer Cyclical;Restaurants
BKD;Brookdale Senior Living, Inc.;597,005,632.00;Healthcare;Medical Care Facilities
BKE;The Buckle, Inc.;656,635,008.00;Consumer Cyclical;Apparel Retail
BKH;Black Hills Corp.;3,909,362,432.00;Utilities;Utilities—Diversified
BL;BlackLine, Inc.;3,310,486,784.00;Technology;Software—Infrastructure
BLBD;Blue Bird Corp.;287,454,272.00;Consumer Cyclical;Auto Manufacturers
BLD;TopBuild Corp.;2,543,517,440.00;Industrials;Engineering & Construction
BLDR;Builders FirstSource, Inc.;1,621,174,784.00;Industrials;Building Products & Equipment
BLFS;BioLife Solutions, Inc.;232,336,992.00;Healthcare;Medical Instruments & Supplies
BLKB;Blackbaud, Inc.;2,393,726,720.00;Technology;Software—Application
BLMN;Bloomin' Brands, Inc.;821,397,824.00;Consumer Cyclical;Restaurants
BLX;Banco Latinoamericano de Comercio Exterior SA;424,536,672.00;Financial Services;Banks—Regional
BMCH;BMC Stock Holdings, Inc.;1,132,547,200.00;Industrials;Building Products & Equipment
BMI;Badger Meter, Inc.;1,658,287,872.00;Industrials;Electrical Equipment & Parts
BMRC;Bank of Marin Bancorp;433,433,696.00;Financial Services;Banks—Regional
BMTC;Bryn Mawr Bank Corp.;521,345,664.00;Financial Services;Banks—Regional
BNED;Barnes & Noble Education, Inc.;83,071,872.00;Consumer Cyclical;Specialty Retail
BNFT;Benefitfocus, Inc.;342,963,776.00;Technology;Software—Application
BOCH;Bank of Commerce Holdings;119,344,792.00;Financial Services;Banks—Regional
BOLD;Audentes Therapeutics, Inc.;2,750,104,320.00;Healthcare;Biotechnology
BOMN;Boston Omaha Corp.;378,522,272.00;Communication Services;Advertising Agencies
BOOM;DMC Global, Inc.;383,544,192.00;Energy;Oil & Gas Equipment & Services
BOOT;Boot Barn Holdings, Inc.;409,706,144.00;Consumer Cyclical;Apparel Retail
BOX;Box, Inc.;2,420,062,976.00;Technology;Software—Infrastructure
BPFH;Boston Private Financial Holdings, Inc.;592,009,216.00;Financial Services;Banks—Regional
BPMC;Blueprint Medicines Corp.;3,747,312,640.00;Healthcare;Biotechnology
BPRN;The Bank of Princeton;127,246,104.00;Financial Services;Banks—Regional
BRC;Brady Corp.;2,193,747,712.00;Industrials;Security & Protection Services
BREW;Craft Brew Alliance, Inc.;299,988,448.00;Consumer Defensive;Beverages—Brewers
BRG;Bluerock Residential Growth REIT, Inc.;138,289,088.00;Real Estate;REIT—Residential
BRID;Bridgford Foods Corp.;163,019,856.00;Consumer Defensive;Packaged Foods
BRKL;Brookline Bancorp, Inc.;837,353,984.00;Financial Services;Banks—Regional
BRKS;Brooks Automation, Inc.;2,531,042,048.00;Technology;Semiconductor Equipment & Materials
BRT;BRT Apartments Corp.;143,046,000.00;Real Estate;REIT—Residential
BRY;Berry Corp.;237,177,424.00;Energy;Oil & Gas E&P
BSET;Bassett Furniture Industries, Inc.;57,599,544.00;Consumer Cyclical;Furnishings, Fixtures & Appliances
BSGM;BioSig Technologies, Inc.;200,193,232.00;Healthcare;Medical Devices
BSIG;BrightSphere Investment Group, Inc.;552,699,200.00;Financial Services;Asset Management
BSRR;Sierra Bancorp;274,635,200.00;Financial Services;Banks—Regional
BSTC;Biospecifics Technologies Corp.;396,698,624.00;Healthcare;Biotechnology
BSVN;Bank7 Corp.;65,684,668.00;Financial Services;Banks—Regional
BTAI;BioXcel Therapeutics, Inc.;608,095,680.00;Healthcare;Biotechnology
BTU;Peabody Energy Corp.;290,390,592.00;Energy;Thermal Coal
BUSE;First Busey Corp.;879,981,696.00;Financial Services;Banks—Regional
BV;BrightView Holdings, Inc.;1,110,308,608.00;Industrials;Specialty Business Services
BWB;Bridgewater Bancshares, Inc.;258,192,080.00;Financial Services;Banks—Regional
BWFG;Bankwell Financial Group, Inc.;120,511,440.00;Financial Services;Banks—Regional
BXC;BlueLinx Holdings, Inc.;38,684,224.00;Industrials;Building Products & Equipment
BXG;Bluegreen Vacations Corp.;422,380,160.00;Consumer Cyclical;Resorts & Casinos
BXMT;Blackstone Mortgage Trust, Inc.;2,788,333,568.00;Real Estate;REIT—Mortgage
BXS;BancorpSouth Bank;2,068,842,496.00;Financial Services;Banks—Regional
BY;Byline Bancorp, Inc.;408,269,952.00;Financial Services;Banks—Regional
BYD;Boyd Gaming Corp.;1,626,113,920.00;Consumer Cyclical;Resorts & Casinos
BYSI;BeyondSpring, Inc.;340,745,984.00;Healthcare;Biotechnology
BZH;Beazer Homes USA, Inc.;163,828,656.00;Consumer Cyclical;Residential Construction
CAC;Camden National Corp. (Maine);428,245,280.00;Financial Services;Banks—Regional
CADE;Cadence Bancorporation;673,884,928.00;Financial Services;Banks—Regional
CAI;CAI International, Inc.;247,618,752.00;Industrials;Rental & Leasing Services
CAKE;Cheesecake Factory, Inc.;831,941,760.00;Consumer Cyclical;Restaurants
CAL;Caleres, Inc.;205,361,088.00;Consumer Cyclical;Footwear & Accessories
CALA;Calithera Biosciences, Inc.;404,976,320.00;Healthcare;Biotechnology
CALM;Cal-Maine Foods, Inc.;2,044,597,632.00;Consumer Defensive;Farm Products
CALX;Calix, Inc.;433,245,504.00;Technology;Software—Application
CAMP;CalAmp Corp.;198,462,624.00;Technology;Communication Equipment
CAR;Avis Budget Group, Inc.;835,205,376.00;Industrials;Rental & Leasing Services
CARA;CARA Therapeutics, Inc.;732,690,368.00;Healthcare;Biotechnology
CARB;Carbonite, Inc.;803,036,096.00;;
CARE;Carter Bank & Trust;214,621,280.00;Financial Services;Banks—Regional
CARG;Cargurus, Inc.;2,223,395,072.00;Communication Services;Internet Content & Information
CARO;Carolina Financial Corp.;700,832,320.00;Financial Services;Banks—Regional
CARS;Cars.com, Inc.;271,190,432.00;Consumer Cyclical;Auto & Truck Dealerships
CASA;Casa Systems, Inc.;379,432,704.00;Technology;Communication Equipment
CASH;Meta Financial Group, Inc.;549,228,928.00;Financial Services;Banks—Regional
CASI;CASI Pharmaceuticals, Inc.;182,656,144.00;Healthcare;Biotechnology
CASS;Cass Information Systems, Inc.;515,893,824.00;Industrials;Specialty Business Services
CATC;Cambridge Bancorp;252,480,064.00;Financial Services;Banks—Regional
CATM;Cardtronics plc;871,748,864.00;Industrials;Business Equipment & Supplies
CATO;The Cato Corp.;226,994,896.00;Consumer Cyclical;Apparel Retail
CATS;Catasys, Inc.;475,548,608.00;Healthcare;Medical Care Facilities
CATY;Cathay General Bancorp;1,848,110,464.00;Financial Services;Banks—Regional
CBAN;Colony Bankcorp, Inc.;100,687,072.00;Financial Services;Banks—Regional
CBAY;CymaBay Therapeutics, Inc.;110,211,992.00;Healthcare;Biotechnology
CBB;Cincinnati Bell, Inc.;750,374,208.00;Communication Services;Telecom Services
CBL;CBL & Associates Properties, Inc.;47,627,016.00;Real Estate;REIT—Retail
CBLK;Carbon Black, Inc. (Massachusetts);;;
CBM;Cambrex Corporation;2,023,126,784.00;;
CBMG;Cellular Biomedicine Group, Inc.;280,458,304.00;Healthcare;Biotechnology
CBNK;Capital Bancorp, Inc. (Maryland);142,228,384.00;Financial Services;Banks—Regional
CBPX;Continental Building Products, Inc.;1,282,872,448.00;;
CBRL;Cracker Barrel Old Country Store, Inc.;2,111,848,192.00;Consumer Cyclical;Restaurants
CBTX;CBTX, Inc. (Texas);415,016,608.00;Financial Services;Banks—Regional
CBU;Community Bank System, Inc.;3,091,682,048.00;Financial Services;Banks—Regional
CBZ;CBIZ, Inc.;1,184,743,040.00;Industrials;Specialty Business Services
CCB;Coastal Financial Corp. (Washington);157,335,584.00;Financial Services;Banks—Regional
CCBG;Capital City Bank Group, Inc.;303,802,624.00;Financial Services;Banks—Regional
CCF;Chase Corp.;791,605,376.00;Basic Materials;Specialty Chemicals
CCMP;Cabot Microelectronics Corp.;3,201,255,168.00;Technology;Semiconductor Equipment & Materials
CCNE;CNB Financial Corp. (Pennsylvania);248,355,216.00;Financial Services;Banks—Regional
