AAN	Aaron's, Inc.
BPRN	The Bank of Princeton
BRC	Brady Corp.
BREW	Craft Brew Alliance, Inc.
BRG	Bluerock Residential Growth REIT, Inc.
BRID	Bridgford Foods Corp.
BRKL	Brookline Bancorp, Inc.
BRKS	Brooks Automation, Inc.
BRT	BRT Apartments Corp.
BRY	Berry Corp.
BSET	Bassett Furniture Industries, Inc.
BSGM	BioSig Technologies, Inc.
BSIG	BrightSphere Investment Group, Inc.
BSRR	Sierra Bancorp
BSTC	Biospecifics Technologies Corp.
BSVN	Bank7 Corp.
BTAI	BioXcel Therapeutics, Inc.
BTU	Peabody Energy Corp.
BUSE	First Busey Corp.
BV	BrightView Holdings, Inc.
BWB	Bridgewater Bancshares, Inc.
BWFG	Bankwell Financial Group, Inc.
BXC	BlueLinx Holdings, Inc.
BXG	Bluegreen Vacations Corp.
BXMT	Blackstone Mortgage Trust, Inc.
BXS	BancorpSouth Bank
BY	Byline Bancorp, Inc.
BYD	Boyd Gaming Corp.
BYSI	BeyondSpring, Inc.
BZH	Beazer Homes USA, Inc.
CAC	Camden National Corp. (Maine)
CADE	Cadence Bancorporation
CAI	CAI International, Inc.
CAKE	Cheesecake Factory, Inc.
CAL	Caleres, Inc.
CALA	Calithera Biosciences, Inc.
CALM	Cal-Maine Foods, Inc.
CALX	Calix, Inc.
CAMP	CalAmp Corp.
CAR	Avis Budget Group, Inc.
CARA	CARA Therapeutics, Inc.
CARB	Carbonite, Inc.
CARE	Carter Bank & Trust
CARG	Cargurus, Inc.
CARO	Carolina Financial Corp.
CARS	Cars.com, Inc.
CASA	Casa Systems, Inc.
CASH	Meta Financial Group, Inc.
CASI	CASI Pharmaceuticals, Inc.
CASS	Cass Information Systems, Inc.
CATC	Cambridge Bancorp
CATM	Cardtronics plc
CATO	The Cato Corp.
CATS	Catasys, Inc.
CATY	Cathay General Bancorp
CBAN	Colony Bankcorp, Inc.
CBAY	CymaBay Therapeutics, Inc.
CBB	Cincinnati Bell, Inc.
CBL	CBL & Associates Properties, Inc.
CBLK	Carbon Black, Inc. (Massachusetts)
CBM	Cambrex Corporation
CBMG	Cellular Biomedicine Group, Inc.
CBNK	Capital Bancorp, Inc. (Maryland)
CBPX	Continental Building Products, Inc.
CBRL	Cracker Barrel Old Country Store, Inc.
CBTX	CBTX, Inc. (Texas)
CBU	Community Bank System, Inc.
CBZ	CBIZ, Inc.
CCB	Coastal Financial Corp. (Washington)
CCBG	Capital City Bank Group, Inc.
CCF	Chase Corp.
CCMP	Cabot Microelectronics Corp.
CCNE	CNB Financial Corp. (Pennsylvania)
CCO	Clear Channel Outdoor Holdings, Inc.
CCOI	Cogent Communications Holdings, Inc.
CCRN	Cross Country Healthcare, Inc.
CCS	Century Communities, Inc.
CCXI	ChemoCentryx, Inc.
CDE	Coeur Mining, Inc.
CDLX	Cardlytics, Inc.
CDMO	Avid Bioservices, Inc.
CDNA	CareDx, Inc.
CDR	Cedar Realty Trust, Inc.
CDXC	Chromadex Corp.
CDXS	Codexis, Inc.
CDZI	Cadiz, Inc.
CECE	CECO Environmental Corp.
CECO	Career Education Corp.
CEIX	CONSOL Energy, Inc.
CELC	Celcuity, Inc.
CELH	Celsius Holdings, Inc.
CENT	Central Garden & Pet Co.
CENTA	Central Garden & Pet Co.
CENX	Century Aluminum Co.
CERC	Cerecor, Inc.
CERS	Cerus Corp.
CETV	Central European Media Enterprises Ltd.
CEVA	CEVA, Inc.
CFB	CrossFirst Bankshares, Inc.
CFFI	C&F Financial Corp.
CFFN	Capitol Federal Financial, Inc.
CFMS	ConforMIS, Inc.
CHAP	Chaparral Energy, Inc.
CHCO	City Holding Co.
CHCT	Community Healthcare Trust, Inc.
CHDN	Churchill Downs, Inc.
CHEF	The Chefs' Warehouse, Inc.
CHGG	Chegg, Inc.
CHMA	Chiasma, Inc.
CHMG	Chemung Financial Corp.
CHMI	Cherry Hill Mortgage Investment Corp.
CHRA	Charah Solutions, Inc.
CHRS	Coherus BioSciences, Inc.
CHS	Chico's FAS, Inc.
CHUY	Chuy's Holdings, Inc.
CIA	Citizens, Inc. (Austin, Texas)
CIO	City Office REIT, Inc.
CIR	CIRCOR International, Inc.
CISN	Cision Ltd.
CIVB	Civista Bancshares, Inc.
CIX	CompX International, Inc.
CJ	C&J Energy Services, Inc.
CKH	SEACOR Holdings, Inc.
CKPT	Checkpoint Therapeutics, Inc.
CLAR	Clarus Corp.
CLBK	Columbia Financial, Inc.
CLCT	Collectors Universe, Inc.
CLDR	Cloudera, Inc.
CLDT	Chatham Lodging Trust
CLF	Cleveland-Cliffs, Inc.
CLFD	Clearfield, Inc.
CLI	Mack-Cali Realty Corp.
CLNC	Colony Credit Real Estate, Inc.
CLNE	Clean Energy Fuels Corp.
CLPR	Clipper Realty, Inc.
CLVS	Clovis Oncology, Inc.
CLW	Clearwater Paper Corp.
CLXT	Calyxt, Inc.
CMBM	Cambium Networks Corp.
CMC	Commercial Metals Co.
CMCO	Columbus McKinnon Corp.
CMCT	CIM Commercial Trust Corp.
CMLS	Cumulus Media, Inc.
CMO	Capstead Mortgage Corp.
CMP	Compass Minerals International, Inc.
CMPR	Cimpress Plc
CMRE	Costamare, Inc.
CMRX	Chimerix, Inc.
CMTL	Comtech Telecommunications Corp.
CNBKA	Century Bancorp, Inc. (Massachusetts)
CNCE	Concert Pharmaceuticals, Inc.
CNDT	Conduent, Inc.
CNMD	CONMED Corp.
CNNE	Cannae Holdings, Inc.
CNO	CNO Financial Group, Inc.
CNOB	ConnectOne Bancorp, Inc.
CNR	Cornerstone Building Brands, Inc.
CNS	Cohen & Steers, Inc. (New York)
CNSL	Consolidated Communications Holdings, Inc.
CNST	Constellation Pharmaceuticals, Inc.
CNTY	Century Casinos, Inc.
CNX	CNX Resources Corp.
CNXN	PC Connection, Inc.
CODA	Coda Octopus Group, Inc.
COHU	Cohu, Inc.
COKE	Coca-Cola Consolidated, Inc.
COLB	Columbia Banking System, Inc.
COLL	Collegium Pharmaceutical, Inc.
CONN	Conn's, Inc.
COOP	Mr. Cooper Group, Inc.
CORE	Core-Mark Holding Co., Inc.
CORR	CorEnergy Infrastructure Trust, Inc.
CORT	Corcept Therapeutics, Inc.
COWN	Cowen, Inc.
CPE	Callon Petroleum Co.
CPF	Central Pacific Financial Corp.
CPK	Chesapeake Utilities Corp.
CPLG	CorePoint Lodging, Inc.
CPRX	Catalyst Pharmaceuticals, Inc.
CPS	Cooper-Standard Holdings, Inc.
CPSI	Computer Programs & Systems, Inc.
CRAI	CRA International, Inc.
CRBP	Corbus Pharmaceuticals Holdings, Inc.
CRC	California Resources Corp.
CRCM	Care.com, Inc.
CRD.A	Crawford & Co.
CRK	Comstock Resources, Inc.
CRMD	CorMedix, Inc.
CRMT	America's Car-Mart, Inc.
CRNX	Crinetics Pharmaceuticals, Inc.
CROX	Crocs, Inc.
CRS	Carpenter Technology Corp.
CRTX	Cortexyme, Inc.
CRUS	Cirrus Logic, Inc.
CRVL	CorVel Corp.
CRY	CryoLife, Inc.
CRZO	Carrizo Oil & Gas, Inc.
CSFL	CenterState Bank Corp.
CSGS	CSG Systems International, Inc.
CSII	Cardiovascular Systems, Inc.
CSLT	Castlight Health, Inc.
CSOD	Cornerstone OnDemand, Inc.
CSTE	Caesarstone Ltd.
CSTL	Castle Biosciences, Inc.
CSTR	CapStar Financial Holdings, Inc.
CSV	Carriage Services, Inc.
CSWI	CSW Industrials, Inc.
CTB	Cooper Tire & Rubber Co.
CTBI	Community Trust Bancorp, Inc. (Kentucky)
CTMX	CytomX Therapeutics, Inc.
CTO	Consolidated-Tomoka Land Co.
CTRA	Contura Energy, Inc.
CTRC	Centric Brands, Inc.
CTRE	CareTrust REIT, Inc.
CTRN	Citi Trends, Inc.
CTS	CTS Corp.
CTSO	CytoSorbents Corp.
CTT	CatchMark Timber Trust, Inc.
CTWS	Connecticut Water Service, Inc.
CUB	Cubic Corp.
CUBI	Customers Bancorp, Inc.
CUE	Cue Biopharma, Inc.
CULP	Culp, Inc.
CURO	CURO Group Holdings Corp.
CUTR	Cutera, Inc.
CVA	Covanta Holding Corp.
CVBF	CVB Financial Corp.
CVCO	Cavco Industries, Inc.
CVCY	Central Valley Community Bancorp
CVGI	Commercial Vehicle Group, Inc.
CVGW	Calavo Growers, Inc.
CVI	CVR Energy, Inc.
CVIA	Covia Holdings Corp.
CVLT	Commvault Systems, Inc.
CVLY	Codorus Valley Bancorp, Inc.
CVM	CEL-SCI Corp.
CVRS	Corindus Vascular Robotics, Inc.
CVTI	Covenant Transportation Group, Inc.
CWCO	Consolidated Water Co. Ltd.
CWEN	Clearway Energy, Inc.
CWEN.A	Clearway Energy, Inc.
CWH	Camping World Holdings, Inc.
CWK	Cushman & Wakefield Plc
CWST	Casella Waste Systems, Inc.
CWT	California Water Service Group
CXW	CoreCivic, Inc.
CYCN	Cyclerion Therapeutics, Inc.
CYH	Community Health Systems, Inc.
CYRX	CryoPort, Inc.
CYTK	Cytokinetics, Inc.
CZNC	Citizens & Northern Corp.
DAKT	Daktronics, Inc.
DAN	Dana, Inc.
DAR	Darling Ingredients, Inc.
DBD	Diebold Nixdorf, Inc.
DBI	Designer Brands, Inc.
DCO	Ducommun, Inc.
DCOM	Dime Community Bancshares, Inc.
DCPH	Deciphera Pharmaceuticals, Inc.
DDD	3D Systems Corp.
DDS	Dillard's, Inc.
DEA	Easterly Government Properties, Inc.
DECK	Deckers Outdoor Corp.
DENN	Denny's Corp.
DERM	Dermira, Inc.
DF	Dean Foods Co.
DFIN	Donnelley Financial Solutions, Inc.
DGICA	Donegal Group, Inc.
DGII	Digi International, Inc.
DHIL	Diamond Hill Investment Group, Inc.
DHT	DHT Holdings, Inc.
DHX	DHI Group, Inc.
DIN	Dine Brands Global, Inc.
DIOD	Diodes, Inc.
DJCO	Daily Journal Corp.
DK	Delek US Holdings, Inc.
DLA	Delta Apparel, Inc.
DLTH	Duluth Holdings, Inc.
DLX	Deluxe Corp.
DMRC	Digimarc Corp.
DNBF	DNB Financial Corporation
DNLI	Denali Therapeutics, Inc.
DNOW	NOW, Inc.
DNR	Denbury Resources, Inc.
DO	Diamond Offshore Drilling, Inc.
DOC	Physicians Realty Trust
DOMO	Domo, Inc.
DOOR	Masonite International Corp.
DORM	Dorman Products, Inc.
DOVA	Dova Pharmaceuticals, Inc.
DPLO	Diplomat Pharmacy, Inc.
DRH	DiamondRock Hospitality Co.
DRNA	Dicerna Pharmaceuticals, Inc.
DRQ	Dril-Quip, Inc.
DS	Drive Shack, Inc.
DSKE	Daseke, Inc.
DSPG	DSP Group, Inc.
DSSI	Diamond S Shipping, Inc.
DTIL	Precision BioSciences, Inc.
DVAX	Dynavax Technologies Corp.
DX	Dynex Capital, Inc.
DXPE	DXP Enterprises, Inc.
DY	Dycom Industries, Inc.
DZSI	DASAN Zhone Solutions Inc.
EAT	Brinker International, Inc.
EB	Eventbrite, Inc.
EBF	Ennis, Inc.
EBIX	Ebix, Inc.
EBS	Emergent BioSolutions, Inc.
EBSB	Meridian Bancorp, Inc.
EBTC	Enterprise Bancorp, Inc.
ECHO	Echo Global Logistics, Inc.
ECOL	US Ecology, Inc.
ECOM	ChannelAdvisor Corp.
ECOR	electroCore, Inc.
ECPG	Encore Capital Group, Inc.
EDIT	Editas Medicine, Inc.
EE	El Paso Electric Co.
EEX	Emerald Holding, Inc.
EFC	Ellington Financial, Inc.
EFSC	Enterprise Financial Services Corp.
EGAN	eGain Corp.
EGBN	Eagle Bancorp, Inc. (Maryland)
EGHT	8x8, Inc.
EGLE	Eagle Bulk Shipping, Inc.
EGOV	NIC, Inc.
EGP	EastGroup Properties, Inc.
EGRX	Eagle Pharmaceuticals, Inc.
EHTH	eHealth, Inc.
EIDX	Eidos Therapeutics, Inc.
EIG	Employers Holdings, Inc.
EIGI	Endurance International Group Holdings, Inc.
EIGR	Eiger BioPharmaceuticals, Inc.
ELF	e.l.f. Beauty, Inc.
ELOX	Eloxx Pharmaceuticals, Inc.
ELVT	Elevate Credit, Inc.
ELY	Callaway Golf Co.
EME	EMCOR Group, Inc.
EML	The Eastern Co.
ENDP	Endo International Plc
ENFC	Entegra Financial Corp.
ENOB	Enochian Biosciences, Inc.
ENPH	Enphase Energy, Inc.
ENS	EnerSys
ENSG	The Ensign Group, Inc.
ENTA	Enanta Pharmaceuticals, Inc.
ENV	Envestnet, Inc.
ENVA	Enova International, Inc.
ENZ	Enzo Biochem, Inc.
EOLS	Evolus, Inc.
EPAY	Bottomline Technologies, Inc.
EPC	Edgewell Personal Care Co.
EPM	Evolution Petroleum Corp.
EPRT	Essential Properties Realty Trust, Inc.
EPZM	Epizyme, Inc.
EQBK	Equity Bancshares, Inc.
ERA	Era Group, Inc.
ERI	Eldorado Resorts, Inc.
ERII	Energy Recovery, Inc.
EROS	Eros International Plc
ESCA	Escalade, Inc.
ESE	ESCO Technologies, Inc.
ESGR	Enstar Group Ltd.
ESNT	Essent Group Ltd.
ESPR	Esperion Therapeutics, Inc.
ESQ	Esquire Financial Holdings, Inc.
ESSA	ESSA Bancorp, Inc.
ESTE	Earthstone Energy, Inc.
ESXB	Community Bankers Trust Corp.
ETH	Ethan Allen Interiors, Inc.
ETM	Entercom Communications Corp.
EVBG	Everbridge, Inc.
EVBN	Evans Bancorp, Inc.
EVC	Entravision Communications Corp.
EVER	EverQuote, Inc.
EVFM	Evofem Biosciences, Inc.
EVH	Evolent Health, Inc.
EVI	EVI Industries, Inc.
EVLO	Evelo Biosciences, Inc.
EVOP	EVO Payments, Inc.
EVRI	Everi Holdings, Inc.
EVTC	EVERTEC, Inc.
EXLS	ExlService Holdings, Inc.
EXPI	eXp World Holdings, Inc.
EXPO	Exponent, Inc.
EXPR	Express, Inc.
EXTN	Exterran Corp.
EXTR	Extreme Networks, Inc.
EYE	National Vision Holdings, Inc.
EYPT	EyePoint Pharmaceuticals, Inc.
EZPW	EZCORP, Inc.
FARM	Farmer Brothers Co.
FARO	FARO Technologies, Inc.
FATE	Fate Therapeutics, Inc.
FBC	Flagstar Bancorp, Inc.
FBIZ	First Business Financial Services, Inc.
FBK	FB Financial Corp.
FBM	Foundation Building Materials, Inc.
FBMS	The First Bancshares, Inc. (Mississippi)
FBNC	First Bancorp (North Carolina)
FBP	First BanCorp (Puerto Rico)
FC	Franklin Covey Co.
FCAP	First Capital, Inc.
FCBC	First Community Bancshares, Inc. (Virginia)
FCBP	First Choice Bancorp (California)
FCCY	1st Constitution Bancorp
FCF	First Commonwealth Financial Corp. (Pennsylvania)
FCFS	FirstCash, Inc.
FCN	FTI Consulting, Inc.
FCPT	Four Corners Property Trust, Inc.
FDBC	Fidelity D&D Bancorp, Inc.
FDEF	First Defiance Financial Corp.
FDP	Fresh Del Monte Produce, Inc.
FELE	Franklin Electric Co., Inc.
FET	Forum Energy Technologies, Inc.
FF	FutureFuel Corp.
FFBC	First Financial Bancorp (Ohio)
FFG	FBL Financial Group, Inc.
FFIC	Flushing Financial Corp.
FFIN	First Financial Bankshares, Inc.
FFNW	First Financial Northwest, Inc.
FFWM	First Foundation, Inc.
FG	FGL Holdings
FGBI	First Guaranty Bancshares, Inc.
FGEN	FibroGen, Inc.
FI	Frank's International NV
FIBK	First Interstate BancSystem, Inc. (Montana)
FII	Federated Investors, Inc.
FISI	Financial Institutions, Inc.
FIT	Fitbit, Inc.
FIVN	Five9, Inc.
FIX	Comfort Systems USA, Inc.
FIXX	Homology Medicines, Inc.
FIZZ	National Beverage Corp.
FLDM	Fluidigm Corp.
FLIC	The First of Long Island Corp.
FLMN	Falcon Minerals Corp.
FLNT	Fluent, Inc.
FLOW	SPX Flow, Inc.
FLWS	1-800-FLOWERS.COM, Inc.
FLXN	Flexion Therapeutics, Inc.
FLXS	Flexsteel Industries, Inc.
FMAO	Farmers & Merchants Bancorp, Inc. (Ohio)
FMBH	First Mid Bancshares, Inc.
FMBI	First Midwest Bancorp, Inc. (Illinois)
FMNB	Farmers National Banc Corp.
FN	Fabrinet
FNCB	FNCB Bancorp, Inc.
FNHC	FedNat Holding Co.
FNKO	Funko, Inc.
FNLC	The First Bancorp, Inc. (Maine)
FNWB	First Northwest Bancorp (Washington)
FOCS	Focus Financial Partners, Inc.
FOE	Ferro Corp.
FOLD	Amicus Therapeutics, Inc.
FOR	Forestar Group, Inc.
FORM	FormFactor, Inc.
FORR	Forrester Research, Inc.
FOSL	Fossil Group, Inc.
FOXF	Fox Factory Holding Corp.
FPI	Farmland Partners, Inc.
FPRX	Five Prime Therapeutics, Inc.
FR	First Industrial Realty Trust, Inc.
FRAC	Keane Group, Inc.
FRAF	Franklin Financial Services Corp. (Pennsylvania)
FRBA	First Bank (Hamilton, New Jersey)
FRBK	Republic First Bancorp, Inc.
FRGI	Fiesta Restaurant Group, Inc.
FRME	First Merchants Corp. (Indiana)
FRPH	FRP Holdings, Inc.
FRPT	Freshpet Inc.
FRTA	Forterra, Inc.
FSB	Franklin Financial Network, Inc.
FSBW	FS Bancorp, Inc.
FSCT	ForeScout Technologies, Inc.
FSP	Franklin Street Properties Corp.
FSS	Federal Signal Corp.
FSTR	L.B. Foster Co.
FTK	Flotek Industries, Inc.
FTR	Frontier Communications Corp.
FTSI	FTS International, Inc.
FTSV	Forty Seven, Inc.
FUL	H.B. Fuller Co.
FULC	Fulcrum Therapeutics, Inc.
FULT	Fulton Financial Corp.
FVCB	FVCBankcorp, Inc.
FWRD	Forward Air Corp.
GABC	German American Bancorp, Inc.
GAIA	Gaia, Inc.
GALT	Galectin Therapeutics, Inc.
GATX	GATX Corp.
GBCI	Glacier Bancorp, Inc.
GBL	GAMCO Investors, Inc.
GBLI	Global Indemnity Ltd.
GBT	Global Blood Therapeutics, Inc.
GBX	Greenbrier Cos., Inc.
GCAP	GAIN Capital Holdings, Inc.
GCBC	Greene County Bancorp, Inc.
GCI	Gannett Co., Inc.
GCO	Genesco, Inc.
GCP	GCP Applied Technologies, Inc.
GDEN	Golden Entertainment, Inc.
GDOT	Green Dot Corp.
GDP	Goodrich Petroleum Corp.
GEF	Greif, Inc.
GEF.B	Greif, Inc.
GEN	Genesis Healthcare, Inc.
